epochs,val_loss,val_acc,val_precision,val_recall,val_f1_score,loss,acc,precision,recall,f1_score
1,0.6672230301475525,0.611519999885559,0.5923363491061113,0.7130044842820947,0.6470929736642819,0.7530625541877747,0.5462400000095368,0.5430216275004975,0.5606425702721182,0.5516913821886638
2,0.669782689037323,0.5654399995040894,0.5391740640575227,0.8949391415472473,0.6729286621166887,0.666432323513031,0.5971999998664856,0.5985752153645034,0.5804016064163791,0.5893482902681553
3,0.6456282182502746,0.6326399999046326,0.6277056276862182,0.6502242152258096,0.638766469819218,0.6556484738922119,0.609440000038147,0.615716008950272,0.5739759036052373,0.5941136846708943
4,0.6899764908027649,0.5705600001525879,0.7744360901285168,0.19795003202440903,0.31530609000687543,0.6496054549407959,0.6180000001716613,0.6275061554585384,0.5731726907538446,0.5991100164175784
5,0.6752746889877319,0.5785600000190735,0.7194244603669582,0.25624599614810234,0.3778932064087485,0.638596763381958,0.6275999998474121,0.6364268334960649,0.5882730923600278,0.6114032391563341
6,0.6375830152511597,0.6375999996566772,0.6151572157856717,0.7331838564787577,0.6690047728098625,0.6329741641807556,0.6388,0.6506873457763361,0.5930923694683841,0.620556299369836
7,0.6410435648536682,0.6251200000381469,0.7111111110725685,0.4202434336828878,0.5282866454519823,0.62916386428833,0.644000000038147,0.655947988039783,0.5996787148498044,0.6265524844974205
8,0.6269234547424316,0.6457599996566773,0.6848534201675549,0.5387572069013852,0.6030834931795173,0.6227262836647034,0.6480800000381469,0.6602316602200732,0.6043373493878822,0.6310491826627959
9,0.6490368135643005,0.6348799995422363,0.6662707838216045,0.5390775143965703,0.5959631233401999,0.6153125341033936,0.6579999999237061,0.6692708333217141,0.6192771084237867,0.6433040802272383
10,0.6406350425910949,0.6249599996566773,0.6608767576236197,0.5118513773058344,0.5768952576457966,0.6148743776321411,0.6615200001144409,0.6745448179153616,0.6189558232832296,0.6455557848808963
11,0.621046045703888,0.6527999996566772,0.6850699844212648,0.5643818065161954,0.6188970350952842,0.6059696867370605,0.6679200001335144,0.6813571178614664,0.625863453805207,0.6524323372515873
12,0.6308652739143371,0.6369599995231628,0.6975451597638933,0.4823830877488026,0.5703464769203169,0.6008365949630737,0.6743199999427796,0.6843546730454578,0.6422489959736185,0.6626335789446697
13,0.8392423227882385,0.5364800002670288,0.8482972133596602,0.08776425368072505,0.15907110055878895,0.5918232825660705,0.6854400000762939,0.6950161591989281,0.6563855421581304,0.675148661199566
14,0.635321548576355,0.6412800003051757,0.6432291666457283,0.6329276104858127,0.6380367597986112,0.6012897938537598,0.6777600000190734,0.6901505971838299,0.6404819277005546,0.6643892185138557
15,0.6212301869964599,0.6606399997901916,0.6533864541632428,0.6828955797346927,0.6678151418593807,0.5844353254127502,0.6884000000381469,0.6998970487182585,0.6552610441661806,0.6768438893112498
16,0.6491159994888306,0.631040000038147,0.6045617631828663,0.7556053811417167,0.6716969893218326,0.579989185295105,0.6902399999809266,0.703652414735959,0.653012048182281,0.6773870522080232
17,0.6499373161506653,0.6278400004196167,0.5971205465935305,0.783792440718008,0.6778392860749647,0.5705904185295105,0.698400000038147,0.7079451126425894,0.671325301194035,0.6891490265410349
18,0.7293698537063599,0.5835199996566772,0.5503199534506434,0.909032671335393,0.6855900001115264,0.5761775945663452,0.6983199999427795,0.708319185047397,0.6702008032020852,0.6887329256768852
19,0.6466140516471863,0.6121600004196167,0.7242930590794155,0.36098654707363914,0.48182979739530557,0.5737491098594666,0.6961599998283386,0.7065531914773353,0.6668273092262357,0.6861156525098363
20,0.6683169211387634,0.6288000004196167,0.5910949568243732,0.8334401024717027,0.6916533272925998,0.5717118061256409,0.70488,0.7194530979453193,0.667791164647907,0.6926601183490662
21,0.6508223497200012,0.6375999995422363,0.5983023629135512,0.8353619474428136,0.6972329415903775,0.5556470731163025,0.7093600000953675,0.7252346193825994,0.6703614457723637,0.6967192087683995
22,0.6402935201263428,0.6417599996757507,0.6275642877599664,0.6957078795420978,0.6598814631005485,0.5608670246887207,0.705359999923706,0.7163036078843379,0.6761445783023913,0.6956449380476145
23,0.6963418020439148,0.6265600004196167,0.7193763919421282,0.41383728377918527,0.5254167897256735,0.5423124298477173,0.72,0.7308930689589749,0.6928514056113598,0.7113639612395369
24,0.7085268758773804,0.6022400001525879,0.5640096618243959,0.8975016015087284,0.6927069983217269,0.5380602070617676,0.725119999923706,0.7378475183227384,0.694939759024981,0.7157511082063976
25,0.7064268788909912,0.6160000002861022,0.6855087358332216,0.4272901985769606,0.5264403630897657,0.5292069232559204,0.7293600000190735,0.7408474576145619,0.7021686746875154,0.7209896407456835
26,0.789167405090332,0.5595200002670289,0.5334299691876531,0.9429852658250165,0.6814025692697548,0.5571821731758118,0.7198400001144409,0.7317446808386087,0.6906024096274602,0.7105784624267872
27,0.6922473375892639,0.6035199997901917,0.7450532723938316,0.3135810377862402,0.4413885966989325,0.5556748269271851,0.715680000076294,0.727241790016552,0.6865863453704967,0.7063294823383841
28,0.6954425478935242,0.6324800004005432,0.7009254748806174,0.46092248557139903,0.5561352178125533,0.5346905794429779,0.7300000001907349,0.7394957983068993,0.7068273092255931,0.7227925578165141
29,0.6819155902671814,0.6012800004196167,0.6923076922654269,0.36322869953993503,0.4764705430751403,0.5250317137908935,0.731440000038147,0.7407656144939428,0.7087550200689356,0.7244068131600185
30,0.6459182694435119,0.6583999997901917,0.6491387125823772,0.6880204996576548,0.6680142557282382,0.5076836810398102,0.7471200001525878,0.7585217684650941,0.7220883534020548,0.7398567519274089
31,0.635228411026001,0.6606399997901916,0.6853017400708885,0.5928891735876718,0.635754715824279,0.5195745067596436,0.7426400000953675,0.7510013351009512,0.7228915662534475,0.7366783489584098
32,0.9946469003295898,0.5515200003814698,0.5278797412947408,0.9673286354590862,0.6830260766602226,0.4973336853981018,0.75136,0.7626832968015729,0.7269076305104112,0.7443657996629229
33,0.6692352602958679,0.6079999996757507,0.6278538812546479,0.5285073670554611,0.5739129938273556,0.5324828119468689,0.7396799998283387,0.7486192468493955,0.7185542168559269,0.7332786385335684
34,0.6492342944335937,0.6401599995231628,0.6259013556208278,0.6950672645517275,0.6586734969375475,0.5247277212619782,0.7411999998855591,0.7535617367579112,0.7137349397475705,0.7331077794117582
35,0.8107284107589722,0.5590399997711182,0.6678899081956063,0.2331838564947731,0.3456789739662599,0.49930256275177004,0.758080000076294,0.7651151233929914,0.7420080321165943,0.7533843897319756
