,loss,acc,precision,recall,f1_score
train,0.34212088581085204,0.849919999923706,0.8634464315416439,0.8298795180589578,0.8463302252351432
validation,0.7322282359313965,0.654240000038147,0.6508634222715585,0.6639974375187702,0.6573647827096903
test,0.7392441243553162,0.6588799995231629,0.6555928070510335,0.6822074214816934,0.6686353245715918
