epochs,val_loss,val_acc,val_precision,val_recall,val_f1_score,loss,acc,precision,recall,f1_score
1,0.6625476955604553,0.6030399997711182,0.656113005326054,0.4314541960143673,0.5205796622583723,0.7210046153640747,0.5564799999427795,0.5534452990024573,0.5664257028021458,0.5598602231004048
2,0.6490274254226684,0.6276799997711182,0.6611268747198571,0.5224215246469436,0.583646399046594,0.6639981947517395,0.6006400000572205,0.605982465177824,0.5662650602318673,0.5854508718214702
3,0.6430494478416443,0.6320000002861023,0.6609240406945606,0.5406790518724959,0.5947850103810901,0.6527110311126709,0.6154399998474122,0.6248679112253458,0.5699598393482738,0.596152180625698
4,0.6377530077934265,0.6420799999046326,0.6451295506511929,0.6300448430291465,0.6374979243827098,0.6445079383850097,0.6243999998664856,0.632170006899928,0.5877911646491921,0.6091733455442485
5,0.6359901280021667,0.6441600002861023,0.6494673768092721,0.6249199231061845,0.6369571814701729,0.6373596678161622,0.6328799999618531,0.6410344827475684,0.5972690762956262,0.6183783284305542
6,0.6363123496818542,0.6400000001716614,0.6158342188996856,0.7424727738391265,0.6732500230261608,0.6238889548873902,0.6482400000190734,0.6557600545218855,0.6181526104318369,0.6364011738815614
7,0.6721618727111817,0.5926400001525879,0.7178517397338993,0.30397181293068637,0.4270926674546006,0.6228381148147583,0.6467999999427796,0.6547008546896632,0.6152610441668231,0.6343684800584243
8,0.7220257687187195,0.5745599997711182,0.7408949010675447,0.22805893657181106,0.34876312832908085,0.6156609149360657,0.6566399998474121,0.665808886590053,0.6234538152510288,0.6439355730729825
9,0.6763318587112427,0.5987200002861023,0.5627555192035414,0.8818065342446572,0.6870476190053701,0.6051632500076294,0.6676800001335144,0.6775244299558114,0.6348594377408054,0.655498374324609
10,0.6421711647605896,0.623200000038147,0.7043153968724393,0.4234465086347391,0.5289057342363653,0.6088921766281128,0.665119999885559,0.6747814160693506,0.6322891566163488,0.6528445345502293
11,0.6586138828468323,0.6257599995422364,0.7081339712542194,0.4266495835865904,0.5324804647481711,0.5925792869758606,0.677120000038147,0.6879615318446168,0.6435341365358469,0.6650065901508725
12,0.6931552221298217,0.6031999999046326,0.7377777777231276,0.31902626520438737,0.44543824047810504,0.589151719532013,0.6822399999046326,0.6911590021942786,0.6542971887445093,0.6722230891583096
13,0.66789819190979,0.5894399997711182,0.7518115941347996,0.26585522100365616,0.39280639772911363,0.5819103366088867,0.6881600001525879,0.698312595863332,0.6581526104311943,0.6776380578725167
14,0.6229686075973511,0.6404799997901917,0.680710450199062,0.5278667520650908,0.594623800679005,0.5730824047088623,0.6956000001525879,0.7057123427285666,0.6668273092262357,0.6857189555627962
15,0.6263874687385559,0.6459200003051758,0.6498516320260518,0.6313260730098871,0.6404548646931404,0.5731297686576843,0.695839999923706,0.7028293989502289,0.6743775100293273,0.6883095089541473
16,0.7491801020431519,0.5713599998855591,0.5414716345152317,0.9263292760753898,0.6834455400926912,0.5679088967704773,0.7031999999427795,0.7140425531793355,0.6738955823184917,0.6933883797824434
17,0.6901429271125793,0.5855999996566772,0.5566198382171856,0.8376040999091094,0.6687979059779015,0.5670230453681946,0.705200000114441,0.7167975418109116,0.6745381525996058,0.6950260197193071
18,0.6403122511291504,0.6329600001716614,0.7302558397814095,0.42056374117807294,0.533739790997575,0.5622550736618042,0.7061600001716614,0.7189430336184122,0.6730923694670989,0.6952625402692117
19,0.6271658718109131,0.656319999923706,0.6893468117927937,0.5679051889632317,0.6227607512876318,0.5469813565921784,0.7224799999809265,0.7337177747501066,0.694939759024981,0.7138024415686647
20,0.6218697792053223,0.6508800004196167,0.6938943894103179,0.5387572069013852,0.6065632396269565,0.5392974045372009,0.725199999885559,0.735403307446247,0.7000803212738943,0.7173071675314342
21,0.7141937495231628,0.6012799996566772,0.7476415093751854,0.30461242792105664,0.43286295383673123,0.5273020776367188,0.7343199998855591,0.7465195246053222,0.7063453815147576,0.725876961994885
22,0.6535459982490539,0.6059200002861023,0.6981358989357705,0.3718770019099335,0.48526641230851364,0.5786594194412231,0.7184800001144409,0.7314403010480425,0.6869076305110537,0.7084748071330736
23,0.6328301638793945,0.6639999998092652,0.6604899497279997,0.673606662374324,0.6669837749123226,0.5323230040931701,0.7294399998664856,0.7452976703926609,0.6938152610330311,0.7186355573731655
24,0.7234846213912964,0.6065600000190735,0.5771827706501238,0.7940422805639321,0.6684642899139602,0.5295199935531616,0.7304800001907349,0.7421159715031855,0.7031325301091866,0.7220984404971243
