,loss,acc,precision,recall,f1_score
train,0.4326650129127502,0.7964000000572204,0.8081044875953097,0.7752610441642529,0.7913420833200104
validation,0.7147021944236756,0.6315200002861023,0.6661257606220639,0.52594490709398,0.5877930417747345
test,0.7389189370727539,0.6318400004005432,0.668379446613898,0.5363146209788673,0.5951081680707068
